Game Name~Release Date~GB_ReleaseDate~AppId~Url
Rocksmith 2014 - No Doubt Song Pack~Aug 12, 2014~#NEED_DATA~294981~http://store.steampowered.com/app/294981
RefleX~Mar 27, 2014~#NEED_DATA~281860~http://store.steampowered.com/app/281860
Rocksmith 2014 - Duran Duran - Ordinary World~Aug 19, 2014~#NEED_DATA~294982~http://store.steampowered.com/app/294982
eXceed 3rd - Jade Penetrate Black Package - Original Soundtrack~Nov 26, 2014~#NEED_DATA~334530~http://store.steampowered.com/app/334530
Rocksmith 2014 - Duran Duran - Hungry Like the Wolf~Aug 19, 2014~#NEED_DATA~294983~http://store.steampowered.com/app/294983
Rocksmith 2014 - Creed - One Last Breath~Sep 16, 2014~#NEED_DATA~295001~http://store.steampowered.com/app/295001
The Dead Linger~Sep 27, 2013~#NEED_DATA~245130~http://store.steampowered.com/app/245130
Rocksmith 2014 - Creed - With Arms Wide Open~Sep 16, 2014~#NEED_DATA~295000~http://store.steampowered.com/app/295000
Rocksmith 2014 - Creed - My Own Prison~Sep 16, 2014~#NEED_DATA~295003~http://store.steampowered.com/app/295003
Rocksmith 2014 - Creed - My Sacrifice~Sep 16, 2014~#NEED_DATA~295002~http://store.steampowered.com/app/295002
The Four Kings Casino and Slots~Jun 1, 2015~#NEED_DATA~260430~http://store.steampowered.com/app/260430
Rocksmith 2014 - Creed Song Pack~Sep 16, 2014~#NEED_DATA~295005~http://store.steampowered.com/app/295005
Rocksmith 2014 - Creed - Higher~Sep 16, 2014~#NEED_DATA~295004~http://store.steampowered.com/app/295004
Rocksmith 2014 - Shinedown - Second Chance~Sep 23, 2014~#NEED_DATA~295007~http://store.steampowered.com/app/295007
Spoko and Poko~May 18, 2015~#NEED_DATA~365400~http://store.steampowered.com/app/365400
Rocksmith 2014 - Shinedown - Enemies~Sep 23, 2014~#NEED_DATA~295006~http://store.steampowered.com/app/295006
Rocksmith 2014 - Sublime - Wrong Way~Sep 2, 2014~#NEED_DATA~294993~http://store.steampowered.com/app/294993
Rocksmith 2014 - Sublime - What I Got~Sep 2, 2014~#NEED_DATA~294992~http://store.steampowered.com/app/294992
Rocksmith 2014 - Sublime - Caress Me Down~Sep 2, 2014~#NEED_DATA~294995~http://store.steampowered.com/app/294995
Rocksmith 2014 - Sublime - Smoke Two Joints~Sep 2, 2014~#NEED_DATA~294994~http://store.steampowered.com/app/294994
Rocksmith 2014 - Sublime Song Pack~Sep 2, 2014~#NEED_DATA~294997~http://store.steampowered.com/app/294997
Rocksmith 2014 - Sublime - Santeria~Sep 2, 2014~#NEED_DATA~294996~http://store.steampowered.com/app/294996
TrackMania² Valley Demo~Jul 4, 2013~#NEED_DATA~264660~http://store.steampowered.com/app/264660
Rocksmith 2014 - Ted Nugent - Stranglehold~Sep 9, 2014~#NEED_DATA~294999~http://store.steampowered.com/app/294999
Rocksmith 2014 - Lynyrd Skynyrd - Simple Man~Sep 9, 2014~#NEED_DATA~294998~http://store.steampowered.com/app/294998
Skullgirls: Eliza~Sep 30, 2014~#NEED_DATA~245176~http://store.steampowered.com/app/245176
Invisible Apartment~Mar 2, 2015~#NEED_DATA~351790~http://store.steampowered.com/app/351790
Apollo4x~May 5, 2015~#NEED_DATA~365420~http://store.steampowered.com/app/365420
King's Bounty: Legions | Champion of the Realm Pack~Dec 10, 2013~#NEED_DATA~264681~http://store.steampowered.com/app/264681
Rocksmith 2014 - Audioslave - I Am The Highway~Oct 7, 2014~#NEED_DATA~295018~http://store.steampowered.com/app/295018
Skullgirls: Beowulf~Apr 17, 2015~#NEED_DATA~245177~http://store.steampowered.com/app/245177
Assassin's Creed Black Flag - Activities Pack~Nov 19, 2013~#NEED_DATA~260472~http://store.steampowered.com/app/260472
King's Bounty: Legions | Beast Master Pack~Dec 10, 2013~#NEED_DATA~264680~http://store.steampowered.com/app/264680
Rocksmith 2014 - Audioslave - Be Yourself~Oct 7, 2014~#NEED_DATA~295019~http://store.steampowered.com/app/295019
King's Bounty: Legions | True Tactician Ultimate Pack~Dec 10, 2013~#NEED_DATA~264683~http://store.steampowered.com/app/264683
Rocksmith 2014 - Foreigner - Cold As Ice~Sep 30, 2014~#NEED_DATA~295016~http://store.steampowered.com/app/295016
King's Bounty: Legions | Lord of Chaos Pack~Dec 10, 2013~#NEED_DATA~264682~http://store.steampowered.com/app/264682
Rocksmith 2014 - Foreigner Song Pack~Sep 30, 2014~#NEED_DATA~295017~http://store.steampowered.com/app/295017
Indie Graphics Bundle~May 6, 2014~#NEED_DATA~281900~http://store.steampowered.com/app/281900
Rocksmith 2014 – Audioslave - Show Me How to Live~Oct 7, 2014~#NEED_DATA~295022~http://store.steampowered.com/app/295022
Rocksmith 2014 - Audioslave Song Pack~Oct 7, 2014~#NEED_DATA~295023~http://store.steampowered.com/app/295023
Rocksmith 2014 - Audioslave - Like a Stone~Oct 7, 2014~#NEED_DATA~295020~http://store.steampowered.com/app/295020
Rocksmith 2014 - Audioslave - Cochise~Oct 7, 2014~#NEED_DATA~295021~http://store.steampowered.com/app/295021
Rocksmith 2014 - Shinedown - Sound of Madness~Sep 23, 2014~#NEED_DATA~295010~http://store.steampowered.com/app/295010
Rocksmith 2014 - Shinedown Song Pack~Sep 23, 2014~#NEED_DATA~295011~http://store.steampowered.com/app/295011
Skullgirls~Aug 22, 2013~#NEED_DATA~245170~http://store.steampowered.com/app/245170
Mini Ninjas~Sep 8, 2009~#NEED_DATA~35000~http://store.steampowered.com/app/35000
Rocksmith 2014 - Shinedown - Bully~Sep 23, 2014~#NEED_DATA~295008~http://store.steampowered.com/app/295008
Rocksmith 2014 - Shinedown - 45~Sep 23, 2014~#NEED_DATA~295009~http://store.steampowered.com/app/295009
Skullgirls: Character Color Bundle~Sep 5, 2013~#NEED_DATA~245172~http://store.steampowered.com/app/245172
Rocksmith 2014 - Foreigner - Double Vision~Sep 30, 2014~#NEED_DATA~295014~http://store.steampowered.com/app/295014
Rocksmith 2014 - Foreigner - Feels Like The First Time~Sep 30, 2014~#NEED_DATA~295015~http://store.steampowered.com/app/295015
Skullgirls: Squigly~Aug 22, 2013~#NEED_DATA~245174~http://store.steampowered.com/app/245174
Assassin's Creed Black Flag - Collectibles Pack~Nov 19, 2013~#NEED_DATA~260471~http://store.steampowered.com/app/260471
